用户ID,参与项目,提交方案,享受政策,使用时长,月份
1001,智能制造优化方案众包,生产线自动化改造建议,技术创新扶持基金,45小时,2025-01
1001,工业互联网平台建设,数据采集与分析方案,数字化转型补贴,52小时,2025-02
1001,数字化车间改造,设备预测性维护策略,研发费用加计扣除,48小时,2025-03
1001,产品质量检测系统开发,工艺流程优化方案,人才引进政策支持,55小时,2025-04
1001,供应链协同平台设计,能源管理系统设计,知识产权保护资助,42小时,2025-05
1001,智能仓储物流系统,AGV调度优化算法,技术创新扶持基金,50小时,2025-06
1001,MES系统实施咨询,生产计划优化方案,数字化转型补贴,47小时,2025-07
1001,工业APP开发,设备监控移动端应用,研发费用加计扣除,53小时,2025-08
1001,数字孪生应用探索,虚拟调试技术方案,人才引进政策支持,49小时,2025-09
1001,绿色制造改造项目,节能减排优化方案,知识产权保护资助,46小时,2025-10
1001,工业机器人集成应用,协作机器人编程方案,技术创新扶持基金,51小时,2025-11
1001,智能工厂规划设计,车间布局优化建议,数字化转型补贴,54小时,2025-12
1002,工业互联网平台建设,边缘计算网关设计方案,技术创新扶持基金,38小时,2025-01
1002,产品质量检测系统开发,AI视觉检测算法优化,数字化转型补贴,42小时,2025-02
1002,数字化车间改造,数控系统升级方案,研发费用加计扣除,40小时,2025-03
1002,智能制造优化方案众包,工艺参数优化建议,人才引进政策支持,45小时,2025-04
1002,供应链协同平台设计,供应商评估模型构建,知识产权保护资助,37小时,2025-05
1002,工业APP开发,质量追溯系统设计,技术创新扶持基金,43小时,2025-06
1002,MES系统实施咨询,工单管理流程优化,数字化转型补贴,41小时,2025-07
1002,数字孪生应用探索,产线仿真建模方案,研发费用加计扣除,44小时,2025-08
1002,绿色制造改造项目,废弃物回收利用方案,人才引进政策支持,39小时,2025-09
1002,工业机器人集成应用,焊接机器人路径规划,知识产权保护资助,46小时,2025-10
1002,智能仓储物流系统,立体仓库调度算法,技术创新扶持基金,42小时,2025-11
1002,智能工厂规划设计,精益生产改进方案,数字化转型补贴,47小时,2025-12
1003,数字化车间改造,PLC控制系统升级,技术创新扶持基金,60小时,2025-01
1003,工业互联网平台建设,SCADA系统集成方案,数字化转型补贴,65小时,2025-02
1003,智能制造优化方案众包,OEE提升改进方案,研发费用加计扣除,58小时,2025-03
1003,产品质量检测系统开发,在线检测设备选型,人才引进政策支持,62小时,2025-04
1003,供应链协同平台设计,采购成本优化模型,知识产权保护资助,55小时,2025-05
1003,MES系统实施咨询,生产执行流程重构,技术创新扶持基金,63小时,2025-06
1003,工业APP开发,移动巡检系统开发,数字化转型补贴,59小时,2025-07
1003,数字孪生应用探索,设备健康管理方案,研发费用加计扣除,61小时,2025-08
1003,绿色制造改造项目,清洁能源替代方案,人才引进政策支持,57小时,2025-09
1003,工业机器人集成应用,装配自动化改造,知识产权保护资助,64小时,2025-10
1003,智能仓储物流系统,WMS系统实施方案,技术创新扶持基金,60小时,2025-11
1003,智能工厂规划设计,智能物流系统规划,数字化转型补贴,66小时,2025-12
1004,工业互联网平台建设,工业网络安全方案,技术创新扶持基金,35小时,2025-01
1004,智能制造优化方案众包,精益生产管理咨询,数字化转型补贴,32小时,2025-02
1004,产品质量检测系统开发,SPC统计分析方案,研发费用加计扣除,38小时,2025-03
1004,数字化车间改造,看板管理系统设计,人才引进政策支持,30小时,2025-04
1004,供应链协同平台设计,VMI库存管理方案,知识产权保护资助,36小时,2025-05
1004,工业APP开发,设备点检移动应用,技术创新扶持基金,33小时,2025-06
1004,MES系统实施咨询,质量管理模块定制,数字化转型补贴,37小时,2025-07
1004,数字孪生应用探索,工艺仿真优化方案,研发费用加计扣除,31小时,2025-08
1004,绿色制造改造项目,ISO14001体系认证咨询,人才引进政策支持,34小时,2025-09
1004,工业机器人集成应用,搬运机器人应用方案,知识产权保护资助,39小时,2025-10
1004,智能仓储物流系统,条码管理系统实施,技术创新扶持基金,32小时,2025-11
1004,智能工厂规划设计,信息化总体规划方案,数字化转型补贴,36小时,2025-12
1005,智能制造优化方案众包,TPM全员生产维护,技术创新扶持基金,28小时,2025-01
1005,数字化车间改造,标准作业程序优化,数字化转型补贴,25小时,2025-02
1005,产品质量检测系统开发,首件检验流程改进,研发费用加计扣除,30小时,2025-03
1005,工业互联网平台建设,设备联网方案设计,人才引进政策支持,27小时,2025-04
1005,供应链协同平台设计,物流配送优化方案,知识产权保护资助,26小时,2025-05
1005,工业APP开发,报修管理小程序,技术创新扶持基金,29小时,2025-06
1005,MES系统实施咨询,班组管理功能定制,数字化转型补贴,24小时,2025-07
1005,数字孪生应用探索,布局规划仿真,研发费用加计扣除,28小时,2025-08
1005,绿色制造改造项目,清洁生产审核咨询,人才引进政策支持,26小时,2025-09
1005,工业机器人集成应用,码垛机器人选型,知识产权保护资助,31小时,2025-10
1005,智能仓储物流系统,先进先出管理方案,技术创新扶持基金,27小时,2025-11
1005,智能工厂规划设计,现场5S改善方案,数字化转型补贴,29小时,2025-12
1006,工业互联网平台建设,IIoT平台架构设计,技术创新扶持基金,50小时,2025-01
1006,智能制造优化方案众包,快速换模SMED方案,数字化转型补贴,48小时,2025-02
1006,产品质量检测系统开发,机器视觉检测方案,研发费用加计扣除,52小时,2025-03
1006,数字化车间改造,安灯系统实施方案,人才引进政策支持,46小时,2025-04
1006,供应链协同平台设计,JIT准时制生产方案,知识产权保护资助,49小时,2025-05
1006,MES系统实施咨询,Andon系统集成,技术创新扶持基金,51小时,2025-06
1006,工业APP开发,生产报表自动生成,数字化转型补贴,47小时,2025-07
1006,数字孪生应用探索,人机工程仿真分析,研发费用加计扣除,53小时,2025-08
1006,绿色制造改造项目,碳足迹核算咨询,人才引进政策支持,45小时,2025-09
1006,工业机器人集成应用,打磨抛光自动化,知识产权保护资助,54小时,2025-10
1006,智能仓储物流系统,AGV路径规划优化,技术创新扶持基金,50小时,2025-11
1006,智能工厂规划设计,柔性生产线设计,数字化转型补贴,55小时,2025-12
